--------- beginning of system
11-01 23:42:10.045  1452  5234 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10125, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-01 23:42:10.047  1452  5234 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10125, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-01 23:42:10.143  1452  1452 W NotificationHistory: Attempted to add notif for locked/gone/disabled user 0
11-01 23:42:10.415  1452  1833 E PackageManager: ERROR: could not load root hash from incremental install
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #25
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #26
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #27
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #28
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.BROADCAST_STICKY in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #31
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SETTINGS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #32
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #34
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WAKE_LOCK in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #35
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #39
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #46
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #47
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #48
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SETTINGS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #49
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #50
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #51
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.GET_TASKS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #52
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #56
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #63
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #64
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.BROADCAST_STICKY in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #70
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WAKE_LOCK in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #76
11-01 23:42:10.420  1452  2040 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #77
11-01 23:42:10.421  1452  2040 D CompatibilityChangeReporter: Compat change id reported: 151163173; UID -1; state: DISABLED
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #482
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #489
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #496
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #503
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #510
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #527
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #534
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #541
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #549
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #557
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #565
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #573
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #581
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #588
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #595
11-01 23:42:10.422  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #602
11-01 23:42:10.423  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #609
11-01 23:42:10.423  1452  2040 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #615
11-01 23:42:10.451  1452  1833 I PackageManager: Integrity check passed for file:///data/app/vmdl873245753.tmp
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #25
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #26
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #27
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #28
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.BROADCAST_STICKY in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #31
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SETTINGS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #32
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #34
11-01 23:42:10.460  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WAKE_LOCK in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #35
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #39
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #46
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #47
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #48
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SETTINGS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #49
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #50
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #51
