--------- beginning of system
11-09 01:42:12.516  7447 14782 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.livegame.wallpapermingche at: Binary XML file line #105
11-09 01:42:12.522  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A3c
11-09 01:42:12.531  1460  4154 W BackupTransportManager: Package com.livegame.wallpapermingche enabled setting: 0
11-09 01:42:12.536  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:12.546  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_NETWORK_STATE in package: com.livegame.wallpapermingche at: Binary XML file line #99
11-09 01:42:12.546  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_PHONE_STATE in package: com.livegame.wallpapermingche at: Binary XML file line #100
11-09 01:42:12.546  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.livegame.wallpapermingche at: Binary XML file line #101
11-09 01:42:12.546  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.livegame.wallpapermingche at: Binary XML file line #103
11-09 01:42:12.546  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_EXTERNAL_STORAGE in package: com.livegame.wallpapermingche at: Binary XML file line #105
11-09 01:42:12.588  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:12.617  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl800096463.tmp
11-09 01:42:12.764  1460  1676 V StorageManagerService: Package null has legacy storage
11-09 01:42:12.819  1460  5561 D CoreBackPreview: Window{5b87e39 u0 Toast}: Setting back callback null
11-09 01:42:12.825  1460  5531 W NotificationService: Toast already killed. pkg=com.eset.ems2.gp token=android.os.BinderProxy@6f30b81
11-09 01:42:12.892  1460  5564 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:12.935  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.cncd.japan.janli.shudu token=2e restoreSet=0
11-09 01:42:12.935  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:12.936  1460  1836 D PackageInstallerSession: Marking session 800096463 as applied
11-09 01:42:12.944  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10237; state: DISABLED
11-09 01:42:12.944  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10237; state: DISABLED
11-09 01:42:12.949  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10237; state: DISABLED
11-09 01:42:12.963  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 01:42:12.964  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.android.buyer/.mRve
11-09 01:42:12.966  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A3g
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-09 01:42:12.969  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-09 01:42:12.970  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.games.mengmeizhitd requires a permissions review
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.games.mengmeizhitd/hjnw.ihjnw.i.isqly
11-09 01:42:12.970  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.hgperfko.yaeghrwx requires a permissions review
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.hgperfko.yaeghrwx/.core.hLytdCQDBv
11-09 01:42:12.970  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 01:42:12.970  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 01:42:12.970  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.uc108.mobile.sdgj.bd1 requires a permissions review
11-09 01:42:12.970  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.uc108.mobile.sdgj.bd1/com.baidu.tiebasdk.service.InstallReceiver
11-09 01:42:12.974  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-09 01:42:12.974  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-09 01:42:12.977  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:13.015  1460  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~moAXctlhpopnr5ZWVUqTlw==/com.cncd.japan.janli.shudu-wCKkVFkqGyYEH-V0ozMfsw==/base.apk
11-09 01:42:13.037  1460  5524 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10237; state: DISABLED
11-09 01:42:13.051  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A3s
11-09 01:42:13.063  1460  4154 W BackupTransportManager: Package com.cncd.japan.janli.shudu enabled setting: 0
11-09 01:42:13.068  1460  1693 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-09 01:42:13.085  1460  1836 E PackageManager: ERROR: could not load root hash from incremental install
11-09 01:42:13.090  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:13.118  1460  2032 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.155  1460  1836 I PackageManager: Integrity check passed for file:///data/app/vmdl2138651540.tmp
11-09 01:42:13.167  1460  1836 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.175  1460  4204 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:13.227  1460  1676 V StorageManagerService: Package null has legacy storage
11-09 01:42:13.231  1460  3758 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10126, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-09 01:42:13.236  1460  1836 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.android.msc token=2f restoreSet=0
11-09 01:42:13.236  1460  1836 V BackupManagerService: [UserID:0] Finishing install immediately
11-09 01:42:13.239  1460  1836 D PackageInstallerSession: Marking session 2138651540 as applied
11-09 01:42:13.248  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10238; state: DISABLED
11-09 01:42:13.249  1460  1836 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10238; state: DISABLED
11-09 01:42:13.256  1460  2908 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10238; state: DISABLED
11-09 01:42:13.258  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.android.buyer/.mRve
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-09 01:42:13.259  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/net.l.k.r
11-09 01:42:13.259  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.cncd.japan.janli.shudu requires a permissions review
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.cncd.japan.janli.shudu/com.feiwofour.coverscreen.SR
11-09 01:42:13.259  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.games.mengmeizhitd requires a permissions review
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.games.mengmeizhitd/hjnw.ihjnw.i.isqly
11-09 01:42:13.259  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.hgperfko.yaeghrwx requires a permissions review
11-09 01:42:13.259  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.hgperfko.yaeghrwx/.core.hLytdCQDBv
11-09 01:42:13.261  1460  1460 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A34
11-09 01:42:13.262  1460  1693 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-09 01:42:13.263  7447  7447 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.264  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-09 01:42:13.264  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-09 01:42:13.264  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-09 01:42:13.264  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-09 01:42:13.265  7447 11747 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_WIFI_STATE in package: com.android.msc at: Binary XML file line #17
11-09 01:42:13.265  1460  1694 W BroadcastQueue: u0 Receiving a broadcast in packagecom.uc108.mobile.sdgj.bd1 requires a permissions review
11-09 01:42:13.265  1460  1694 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1460, uid=1000) to com.uc108.mobile.sdgj.bd1/com.baidu.tiebasdk.service.InstallReceiver
11-09 01:42:13.268  1460  1460 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
